Año|Mes|CCAA|Producto||Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita||
2013 | Enero|Total nacional|GUISANTES|Gasto per capita|852,95|1.946,26|2,28|6,65|0,02||
2013 | Enero|Total nacional|JUDIAS VERDES|0,04|1.366,33|1.988,63|1,46|6,15|0,03||
2013 | Enero|Total nacional|PIMIENTOS|0,04|1.253,53|4.902,83|3,91|13,77|0,03||
2013 | Enero|Total nacional|ESPARRAGOS|0,11|1.718,34|8.831,34|5,14|15,52|0,04||
2013 | Enero|Total nacional|ALCACHOFAS|0,19|571,68|2.693,28|4,71|4,97|0,01||
2013 | Enero|Total nacional|CHAMPIÑOSNES+SETAS|0,06|1.766,86|5.031,65|2,85|13,1|0,04||
2013 | Enero|Total nacional|MAIZ DULCE|0,11|1.436,48|4.320,72|3,01|12,06|0,03||
2013 | Enero|Total nacional|MENESTRA|0,1|267,27|529,02|1,98|1,69|0,01||
2013 | Enero|Total nacional|TOMATES|0,01|21.625,68|28.333,26|1,31|60,74|0,48||
2013 | Enero|Total nacional|TOMATE FRITO|0,63|15.414,67|21.218,10|1,38|51,39|0,34||
2013 | Enero|Total nacional|TOMATE NATURAL|0,47|6.211,01|7.115,15|1,15|22,67|0,14||
2013 | Enero|Total nacional|TOMATE N.ENTERO|0,16|920,46|1.087,47|1,18|3,56|0,02||
2013 | Enero|Total nacional|TOMATE N.TRITUR.|0,02|5.290,55|6.027,69|1,14|20,29|0,12||
2013 | Enero|Total nacional|OTRA VERD/HORT.CON|0,13|1.933,57|4.701,72|2,43|12,58|0,04||
2013 | Enero|Total nacional|FRUTA EN CONSERVA|0,1|7.218,12|20.768,02|2,88|37,11|0,16||
2013 | Enero|Total nacional|MERMELADAS,CONFIT.|0,46|2.720,39|9.563,77|3,52|22,59|0,06||
2013 | Enero|Total nacional|FRUTA CONS/ALMIBAR|0,21|3.776,76|8.089,16|2,14|16,2|0,08||
2013 | Enero|Total nacional|FRUTA ESCARCHADA|0,18|117,73|937,56|7,96|1,01|0||
2013 | Enero|Total nacional|RESTO FRUTA CONSER|0,02|603,24|2.177,53|3,61|5,43|0,01||
2013 | Enero|Total nacional|VERD./HORT.CONGELAD|0,05|13.765,56|25.313,42|1,84|42,38|0,3||
2013 | Enero|Total nacional|ESPINACAS|0,56|1.414,59|2.398,80|1,7|9,26|0,03||
2013 | Enero|Total nacional|GUISANTES|0,05|2.552,43|4.023,36|1,58|13,94|0,06||
2013 | Enero|Total nacional|JUDIA VERDE|0,09|3.718,78|4.939,35|1,33|14,76|0,08||
2013 | Enero|Total nacional|COLIFLOR|0,11|358,09|590,75|1,65|1,97|0,01||
2013 | Enero|Total nacional|PIMIENTOS|0,01|121,98|270,46|2,22|1,19|0||
2013 | Enero|Total nacional|BROCOLI|0,01|431,64|712,06|1,65|2,29|0,01||
2013 | Enero|Total nacional|MENESTRA|0,02|1.511,99|2.698,34|1,78|7,53|0,03||
2013 | Enero|Total nacional|OTR.VERD/HOR.CONG.|0,06|3.656,06|9.680,30|2,65|20,4|0,08||
2013 | Enero|Total nacional|FRUTAS CONGELADAS|0,21|99,28|330,80|3,33|0,74|0||
