day,Mes,Año,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Producto,Penetración (%),Consumo per capita
28,Noviembre,2020,0,0,361.3711639,UVAS,21.441,0.36
27,Noviembre,2020,10853,294,361.3711639,UVAS,21.441,0.36
26,Noviembre,2020,12289,337,383.7798959,UVAS,21.441,0.36
25,Noviembre,2020,10222,369,399.1664582,UVAS,21.441,0.36
24,Noviembre,2020,12228,537,418.0726275,UVAS,21.441,0.36
23,Noviembre,2020,25886,512,429.0809863,UVAS,21.441,0.36
22,Noviembre,2020,0,0,485.5395715,UVAS,21.441,0.36
21,Noviembre,2020,0,0,485.5395715,UVAS,21.441,0.36
20,Noviembre,2020,15156,328,485.5395715,UVAS,21.441,0.36
19,Noviembre,2020,16233,252,501.2201446,UVAS,21.441,0.36
18,Noviembre,2020,15318,351,513.3108039,UVAS,21.441,0.36
17,Noviembre,2020,13159,435,534.0279089,UVAS,21.441,0.36
16,Noviembre,2020,38273,484,545.7670336,UVAS,21.441,0.36
15,Noviembre,2020,0,0,581.4445984,UVAS,21.441,0.36
14,Noviembre,2020,0,0,581.4445984,UVAS,21.441,0.36
13,Noviembre,2020,21371,308,581.4445984,UVAS,21.441,0.36
12,Noviembre,2020,19511,356,590.4438838,UVAS,21.441,0.36
11,Noviembre,2020,19096,349,599.1129398,UVAS,21.441,0.36
10,Noviembre,2020,17395,411,600.5382527,UVAS,21.441,0.36
9,Noviembre,2020,52386,512,602.7177672,UVAS,21.441,0.36
8,Noviembre,2020,0,0,602.2959257,UVAS,21.441,0.36
7,Noviembre,2020,0,0,602.2959257,UVAS,21.441,0.36
6,Noviembre,2020,22516,347,602.2959257,UVAS,21.441,0.36
5,Noviembre,2020,21908,368,596.6181094,UVAS,21.441,0.36
4,Noviembre,2020,25042,1623,594.6537768,UVAS,21.441,0.36
3,Noviembre,2020,18669,238,577.4626702,UVAS,21.441,0.36
2,Noviembre,2020,55019,379,567.2447316,UVAS,21.441,0.36
1,Noviembre,2020,0,0,530.7490499,UVAS,21.441,0.36
31,Octubre,2020,0,0,530.7490499,UVAS,21.441,0.57
30,Octubre,2020,25595,239,530.7490499,UVAS,21.441,0.57
29,Octubre,2020,23580,173,508.5725437,UVAS,21.441,0.57
28,Octubre,2020,19765,168,486.709223,UVAS,21.441,0.57
27,Octubre,2020,18418,267,470.1018769,UVAS,21.441,0.57
26,Octubre,2020,52188,279,446.0270839,UVAS,21.441,0.57
25,Octubre,2020,0,0,394.1874502,UVAS,21.441,0.57
24,Octubre,2020,0,0,394.1874502,UVAS,21.441,0.57
23,Octubre,2020,19851,231,394.1874502,UVAS,21.441,0.57
22,Octubre,2020,20986,155,379.1396393,UVAS,21.441,0.57
