Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2013 | Enero|Total nacional|TOTAL PATATAS|122.876,94|96.156,45|0,78|82|2,71|2,12||
2013 | Enero|Total nacional|PATATAS FRESCAS|93.830,77|67.350,98|0,72|71,89|2,07|1,49||
2013 | Enero|Total nacional|PATATAS CONGELADAS|4.074,52|4.722,47|1,16|12,89|0,09|0,1||
2013 | Enero|Total nacional|PATATAS PROCESADAS|4.994,33|24.083,00|4,82|46,43|0,11|0,53||
2013 | Enero|Total nacional|T.HORTALIZAS FRESCAS|246.062,84|405.529,28|1,65|97,32|5,43|8,95||
2013 | Enero|Total nacional|TOMATES|47.114,61|64.590,59|1,37|82,29|1,04|1,42||
2013 | Enero|Total nacional|CEBOLLAS|28.951,99|27.971,47|0,97|71,3|0,64|0,62||
2013 | Enero|Total nacional|AJOS|3.355,52|13.668,84|4,07|43,49|0,07|0,3||
2013 | Enero|Total nacional|COLES|10.709,92|11.509,69|1,07|28,27|0,24|0,25||
2013 | Enero|Total nacional|PEPINOS|4.637,72|7.294,65|1,57|24,27|0,1|0,16||
2013 | Enero|Total nacional|JUDIAS VERDES|7.830,02|22.719,19|2,9|37,43|0,17|0,5||
2013 | Enero|Total nacional|PIMIENTOS|17.667,96|33.234,99|1,88|66,09|0,39|0,73||
2013 | Enero|Total nacional|CHAMPIÑONES+O.SETAS|5.896,75|19.093,22|3,24|40,74|0,13|0,42||
2013 | Enero|Total nacional|LECHUGA/ESC./ENDIVIA|17.740,23|36.524,66|2,06|61,79|0,39|0,81||
2013 | Enero|Total nacional|ESPARRAGOS|1.907,46|3.596,91|1,89|6,43|0,04|0,08||
2013 | Enero|Total nacional|VERDURAS DE HOJA|6.802,23|12.409,77|1,82|28,17|0,15|0,27||
2013 | Enero|Total nacional|BERENJENAS|4.049,43|8.575,41|2,12|26,09|0,09|0,19||
2013 | Enero|Total nacional|ZANAHORIAS|15.593,45|13.813,33|0,89|63,22|0,34|0,3||
2013 | Enero|Total nacional|CALABACINES|13.942,13|23.740,26|1,7|51,24|0,31|0,52||
2013 | Enero|Total nacional|OTR.HORTALIZAS/VERD.|59.863,42|106.786,30|1,78|84,05|1,32|2,36||
2013 | Enero|Total nacional|VERD./HORT. IV GAMA|12.072,26|33.480,35|2,77|48,29|0,27|0,74||
2013 | Enero|Total nacional|VERD./HORT. ECOLOGIC|20.501,40|33.987,27|1,66|23,43|0,45|0,75||
2013 | Febrero|Total nacional|TOTAL PATATAS|109.802,01|85.198,44|0,78|79,72|2,42|1,88||
2013 | Febrero|Total nacional|PATATAS FRESCAS|82.837,00|58.284,56|0,7|66,64|1,83|1,29||
2013 | Febrero|Total nacional|PATATAS CONGELADAS|3.672,13|4.391,17|1,2|11,74|0,08|0,1||
2013 | Febrero|Total nacional|PATATAS PROCESADAS|4.658,57|22.522,71|4,83|44,51|0,1|0,5||
2013 | Febrero|Total nacional|T.HORTALIZAS FRESCAS|226.207,38|359.288,13|1,59|96,49|4,99|7,93||
2013 | Febrero|Total nacional|TOMATES|42.926,23|60.662,26|1,41|79,83|0,95|1,34||
2013 | Febrero|Total nacional|CEBOLLAS|27.265,43|25.980,38|0,95|68,9|0,6|0,57||
2013 | Febrero|Total nacional|AJOS|3.181,33|12.324,52|3,87|37,58|0,07|0,27||
2013 | Febrero|Total nacional|COLES|9.574,56|9.763,75|1,02|25,95|0,21|0,22||
2013 | Febrero|Total nacional|PEPINOS|4.535,89|7.547,25|1,66|23,2|0,1|0,17||
2013 | Febrero|Total nacional|JUDIAS VERDES|6.793,03|20.729,87|3,05|35,05|0,15|0,46||
2013 | Febrero|Total nacional|PIMIENTOS|16.852,97|29.943,14|1,78|65,52|0,37|0,66||
2013 | Febrero|Total nacional|CHAMPIÑONES+O.SETAS|5.695,09|17.961,24|3,15|38,17|0,13|0,4||
2013 | Febrero|Total nacional|LECHUGA/ESC./ENDIVIA|16.042,04|30.993,05|1,93|57,62|0,35|0,68||
2013 | Febrero|Total nacional|ESPARRAGOS|2.091,75|3.297,37|1,58|5,61|0,05|0,07||
2013 | Febrero|Total nacional|VERDURAS DE HOJA|6.580,73|11.932,58|1,81|27,16|0,15|0,26||
2013 | Febrero|Total nacional|BERENJENAS|3.667,63|7.322,43|2|24,75|0,08|0,16||
2013 | Febrero|Total nacional|ZANAHORIAS|13.182,24|11.546,97|0,88|55,67|0,29|0,25||
2013 | Febrero|Total nacional|CALABACINES|13.556,57|18.516,31|1,37|49,22|0,3|0,41||
2013 | Febrero|Total nacional|OTR.HORTALIZAS/VERD.|54.261,90|90.767,01|1,67|81,95|1,2|2||
2013 | Febrero|Total nacional|VERD./HORT. IV GAMA|11.770,42|29.968,24|2,55|44,22|0,26|0,66||
2013 | Febrero|Total nacional|VERD./HORT. ECOLOGIC|19.386,23|30.573,39|1,58|20,96|0,43|0,67||
2013 | Marzo|Total nacional|TOTAL PATATAS|123.848,73|98.732,98|0,8|81,64|2,73|2,18||
2013 | Marzo|Total nacional|PATATAS FRESCAS|92.550,91|66.415,07|0,72|69,18|2,04|1,47||
2013 | Marzo|Total nacional|PATATAS CONGELADAS|4.168,49|5.095,65|1,22|12,75|0,09|0,11||
2013 | Marzo|Total nacional|PATATAS PROCESADAS|5.425,86|27.222,26|5,02|49,42|0,12|0,6||
2013 | Marzo|Total nacional|T.HORTALIZAS FRESCAS|236.525,58|385.857,39|1,63|97,06|5,22|8,51||
2013 | Marzo|Total nacional|TOMATES|45.110,74|69.124,16|1,53|80,93|1|1,52||
2013 | Marzo|Total nacional|CEBOLLAS|29.288,95|29.929,22|1,02|71,43|0,65|0,66||
2013 | Marzo|Total nacional|AJOS|3.713,06|13.568,81|3,65|42,54|0,08|0,3||
2013 | Marzo|Total nacional|COLES|9.898,82|10.091,16|1,02|26,57|0,22|0,22||
