Year,Mes,CCAA,Producto,Volumen (miles de kg),Penetración (%)
2020.0,3.0,Andalucia,TOTAL PATATAS,26781.88,86.82
2020.0,3.0,Andalucia,PATATAS FRESCAS,18296.89,78.36
2020.0,3.0,Andalucia,PATATAS CONGELADAS,1071.86,14.77
2020.0,3.0,Andalucia,PATATAS PROCESADAS,1482.63,58.35
2020.0,3.0,Andalucia,PATATAS FRITAS,1184.1,55.63
2020.0,3.0,Andalucia,T.HORTALIZAS FRESCAS,44651.3,98.22
2020.0,3.0,Andalucia,TOMATES,9777.53,85.42
2020.0,3.0,Andalucia,CEBOLLAS,6221.43,74.1
2020.0,3.0,Andalucia,AJOS,694.76,47.5
2020.0,3.0,Andalucia,COLES,962.14,19.26
2020.0,3.0,Andalucia,PEPINOS,1054.1,32.49
2020.0,3.0,Andalucia,JUDIAS VERDES,956.08,27.71
2020.0,3.0,Andalucia,PIMIENTOS,3539.51,71.53
2020.0,3.0,Andalucia,CHAMPIÑONES+O.SETAS,934.74,37.81
2020.0,3.0,Andalucia,LECHUGA/ESC./ENDIVIA,3157.07,72.55
2020.0,3.0,Andalucia,ESPARRAGOS,629.33,12.56
2020.0,3.0,Andalucia,VERDURAS DE HOJA,967.32,24.38
2020.0,3.0,Andalucia,BERENJENAS,1220.44,39.11
2020.0,3.0,Andalucia,ZANAHORIAS,2783.99,61.07
2020.0,3.0,Andalucia,CALABACINES,3181.39,59.15
2020.0,3.0,Andalucia,OTR.HORTALIZAS/VERD.,8571.48,80.84
2020.0,3.0,Andalucia,BROCOLI,988.87,24.43
2020.0,3.0,Andalucia,ALCACHOFAS,1820.14,32.33
2020.0,3.0,Andalucia,APIO,372.36,14.88
2020.0,3.0,Andalucia,COLIFLOR,572.62,12.02
2020.0,3.0,Andalucia,VERD./HORT. IV GAMA,5586.03,68.99
2020.0,3.0,Andalucia,PUERRO,813.67,32.51
2020.0,3.0,Aragon,TOTAL PATATAS,3242.56,76.02
2020.0,3.0,Aragon,PATATAS FRESCAS,2436.54,64.14
2020.0,3.0,Aragon,PATATAS CONGELADAS,60.03,8.53
2020.0,3.0,Aragon,PATATAS PROCESADAS,149.2,47.05
2020.0,3.0,Aragon,PATATAS FRITAS,128.32,45.55
2020.0,3.0,Aragon,T.HORTALIZAS FRESCAS,8980.43,98.17
2020.0,3.0,Aragon,TOMATES,1355.2,86.07
2020.0,3.0,Aragon,CEBOLLAS,863.95,70.44
2020.0,3.0,Aragon,AJOS,101.68,35.62
2020.0,3.0,Aragon,COLES,270.89,24.34
2020.0,3.0,Aragon,PEPINOS,158.13,23.48
2020.0,3.0,Aragon,JUDIAS VERDES,407.13,53.48
2020.0,3.0,Aragon,PIMIENTOS,548.02,57.76
2020.0,3.0,Aragon,CHAMPIÑONES+O.SETAS,271.9,58.21
2020.0,3.0,Aragon,LECHUGA/ESC./ENDIVIA,830.87,76.51
2020.0,3.0,Aragon,ESPARRAGOS,269.44,22.18
2020.0,3.0,Aragon,VERDURAS DE HOJA,537.79,42.31
2020.0,3.0,Aragon,BERENJENAS,153.59,31.12
2020.0,3.0,Aragon,ZANAHORIAS,431.18,57.44
2020.0,3.0,Aragon,CALABACINES,544.33,63.58
2020.0,3.0,Aragon,OTR.HORTALIZAS/VERD.,2236.33,84.49
2020.0,3.0,Aragon,BROCOLI,315.9,27.98
2020.0,3.0,Aragon,ALCACHOFAS,371.08,39.21
2020.0,3.0,Aragon,APIO,187.47,12.57
2020.0,3.0,Aragon,COLIFLOR,69.24,10.07
2020.0,3.0,Aragon,VERD./HORT. IV GAMA,944.33,69.11
2020.0,3.0,Aragon,PUERRO,146.2,31.55
2020.0,3.0,Asturias,TOTAL PATATAS,3981.23,77.32
2020.0,3.0,Asturias,PATATAS FRESCAS,3308.71,69.02
2020.0,3.0,Asturias,PATATAS CONGELADAS,72.75,9.24
2020.0,3.0,Asturias,PATATAS PROCESADAS,119.95,36.34
2020.0,3.0,Asturias,PATATAS FRITAS,86.53,33.93
2020.0,3.0,Asturias,T.HORTALIZAS FRESCAS,4917.27,96.76
2020.0,3.0,Asturias,TOMATES,862.45,75.41
2020.0,3.0,Asturias,CEBOLLAS,888.0,79.66
2020.0,3.0,Asturias,AJOS,118.24,57.42
2020.0,3.0,Asturias,COLES,197.13,22.75
2020.0,3.0,Asturias,PEPINOS,46.99,18.65
2020.0,3.0,Asturias,JUDIAS VERDES,110.13,26.9
2020.0,3.0,Asturias,PIMIENTOS,470.26,72.6
2020.0,3.0,Asturias,CHAMPIÑONES+O.SETAS,106.89,34.37
2020.0,3.0,Asturias,LECHUGA/ESC./ENDIVIA,326.73,65.42
2020.0,3.0,Asturias,ESPARRAGOS,20.75,8.55
2020.0,3.0,Asturias,VERDURAS DE HOJA,195.43,18.28
2020.0,3.0,Asturias,BERENJENAS,99.31,21.15
2020.0,3.0,Asturias,ZANAHORIAS,381.11,62.28
2020.0,3.0,Asturias,CALABACINES,424.05,53.55
2020.0,3.0,Asturias,OTR.HORTALIZAS/VERD.,669.81,64.66
2020.0,3.0,Asturias,BROCOLI,110.99,29.24
2020.0,3.0,Asturias,ALCACHOFAS,57.97,13.67
2020.0,3.0,Asturias,APIO,24.97,4.63
2020.0,3.0,Asturias,COLIFLOR,39.12,6.54
2020.0,3.0,Asturias,VERD./HORT. IV GAMA,504.66,52.01
2020.0,3.0,Asturias,PUERRO,93.6,34.24
2020.0,3.0,Baleares,TOTAL PATATAS,3868.96,89.97
2020.0,3.0,Baleares,PATATAS FRESCAS,2786.14,80.55
2020.0,3.0,Baleares,PATATAS CONGELADAS,122.33,10.3
2020.0,3.0,Baleares,PATATAS PROCESADAS,192.1,57.75
2020.0,3.0,Baleares,PATATAS FRITAS,142.28,56.6
2020.0,3.0,Baleares,T.HORTALIZAS FRESCAS,7612.08,98.34
2020.0,3.0,Baleares,TOMATES,1366.68,91.08
2020.0,3.0,Baleares,CEBOLLAS,1012.82,82.38
2020.0,3.0,Baleares,AJOS,92.74,34.03
2020.0,3.0,Baleares,COLES,352.07,34.78
2020.0,3.0,Baleares,PEPINOS,115.77,29.38
2020.0,3.0,Baleares,JUDIAS VERDES,153.29,40.49
2020.0,3.0,Baleares,PIMIENTOS,646.21,69.4
2020.0,3.0,Baleares,CHAMPIÑONES+O.SETAS,280.7,56.71
2020.0,3.0,Baleares,LECHUGA/ESC./ENDIVIA,495.58,74.89
2020.0,3.0,Baleares,ESPARRAGOS,29.12,8.54
2020.0,3.0,Baleares,VERDURAS DE HOJA,285.61,40.99
2020.0,3.0,Baleares,BERENJENAS,275.77,42.84
2020.0,3.0,Baleares,ZANAHORIAS,406.59,62.39
2020.0,3.0,Baleares,CALABACINES,488.35,60.77
2020.0,3.0,Baleares,OTR.HORTALIZAS/VERD.,1610.77,80.98
2020.0,3.0,Baleares,BROCOLI,185.93,34.24
2020.0,3.0,Baleares,ALCACHOFAS,296.47,33.13
2020.0,3.0,Baleares,APIO,82.46,16.54
2020.0,3.0,Baleares,COLIFLOR,137.17,21.13
2020.0,3.0,Baleares,VERD./HORT. IV GAMA,847.28,66.83
2020.0,3.0,Baleares,PUERRO,128.46,40.73
2020.0,3.0,Canarias,TOTAL PATATAS,8483.08,87.1
2020.0,3.0,Canarias,PATATAS FRESCAS,6689.41,79.46
2020.0,3.0,Canarias,PATATAS CONGELADAS,383.6,12.15
2020.0,3.0,Canarias,PATATAS PROCESADAS,282.02,46.74
2020.0,3.0,Canarias,PATATAS FRITAS,215.39,46.45
2020.0,3.0,Canarias,T.HORTALIZAS FRESCAS,12563.35,98.96
2020.0,3.0,Canarias,TOMATES,2115.91,86.17
2020.0,3.0,Canarias,CEBOLLAS,2113.67,92.33
2020.0,3.0,Canarias,AJOS,167.26,49.22
2020.0,3.0,Canarias,COLES,348.95,25.73
2020.0,3.0,Canarias,PEPINOS,287.79,29.91
2020.0,3.0,Canarias,JUDIAS VERDES,243.26,25.81
2020.0,3.0,Canarias,PIMIENTOS,1084.59,77.48
2020.0,3.0,Canarias,CHAMPIÑONES+O.SETAS,225.27,36.4
2020.0,3.0,Canarias,LECHUGA/ESC./ENDIVIA,573.57,61.75
2020.0,3.0,Canarias,ESPARRAGOS,4.27,1.32
2020.0,3.0,Canarias,VERDURAS DE HOJA,115.88,27.69
2020.0,3.0,Canarias,BERENJENAS,151.6,21.45
2020.0,3.0,Canarias,ZANAHORIAS,1160.15,76.34
2020.0,3.0,Canarias,CALABACINES,1524.73,75.07
2020.0,3.0,Canarias,OTR.HORTALIZAS/VERD.,2446.46,86.82
2020.0,3.0,Canarias,BROCOLI,76.38,12.22
2020.0,3.0,Canarias,ALCACHOFAS,27.94,2.73
2020.0,3.0,Canarias,APIO,103.39,14.01
2020.0,3.0,Canarias,COLIFLOR,106.02,13.18
2020.0,3.0,Canarias,VERD./HORT. IV GAMA,1806.22,69.38
2020.0,3.0,Canarias,PUERRO,200.4,37.05
2020.0,3.0,Cantabria,TOTAL PATATAS,1746.55,88.51
2020.0,3.0,Cantabria,PATATAS FRESCAS,1290.88,80.5
2020.0,3.0,Cantabria,PATATAS CONGELADAS,98.45,17.0
2020.0,3.0,Cantabria,PATATAS PROCESADAS,71.44,42.56
2020.0,3.0,Cantabria,PATATAS FRITAS,53.59,40.58
2020.0,3.0,Cantabria,T.HORTALIZAS FRESCAS,2299.09,98.7
2020.0,3.0,Cantabria,TOMATES,361.21,89.36
2020.0,3.0,Cantabria,CEBOLLAS,403.48,86.28
2020.0,3.0,Cantabria,AJOS,41.7,57.53
2020.0,3.0,Cantabria,COLES,55.75,16.13
2020.0,3.0,Cantabria,PEPINOS,34.88,19.64
2020.0,3.0,Cantabria,JUDIAS VERDES,59.54,24.71
2020.0,3.0,Cantabria,PIMIENTOS,261.84,60.42
2020.0,3.0,Cantabria,CHAMPIÑONES+O.SETAS,34.7,29.46
2020.0,3.0,Cantabria,LECHUGA/ESC./ENDIVIA,165.99,73.97
2020.0,3.0,Cantabria,ESPARRAGOS,10.03,8.45
2020.0,3.0,Cantabria,VERDURAS DE HOJA,26.6,17.89
