CCAA,Mes,CasosConfirmados,Fallecidos,Year,Producto,Volumen (miles de kg),Penetración (%),TasaMortalidad
Andalucia,3.0,16903.0,755.0,2020.0,TOTAL PATATAS,26781.88,86.82,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PATATAS FRESCAS,18296.89,78.36,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PATATAS CONGELADAS,1071.86,14.77,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PATATAS PROCESADAS,1482.63,58.35,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PATATAS FRITAS,1184.1,55.63,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,T.HORTALIZAS FRESCAS,44651.3,98.22,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,TOMATES,9777.53,85.42,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,CEBOLLAS,6221.43,74.1,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,AJOS,694.76,47.5,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,COLES,962.14,19.26,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PEPINOS,1054.1,32.49,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,JUDIAS VERDES,956.08,27.71,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PIMIENTOS,3539.51,71.53,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,CHAMPIÑONES+O.SETAS,934.74,37.81,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,LECHUGA/ESC./ENDIVIA,3157.07,72.55,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,ESPARRAGOS,629.33,12.56,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,VERDURAS DE HOJA,967.32,24.38,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,BERENJENAS,1220.44,39.11,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,ZANAHORIAS,2783.99,61.07,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,CALABACINES,3181.39,59.15,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,OTR.HORTALIZAS/VERD.,8571.48,80.84,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,BROCOLI,988.87,24.43,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,ALCACHOFAS,1820.14,32.33,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,APIO,372.36,14.88,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,COLIFLOR,572.62,12.02,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,VERD./HORT. IV GAMA,5586.03,68.99,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PUERRO,813.67,32.51,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,T.FRUTAS FRESCAS,59138.85,96.8,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,NARANJAS,17189.34,63.6,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,MANDARINAS,5226.14,53.74,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,LIMONES,1658.72,32.17,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PLATANOS,10385.88,82.7,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,MANZANAS,7988.58,77.31,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PERAS,3834.11,52.88,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,NECTARINAS,180.95,2.12,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,ALBARICOQUES,18.82,0.76,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,FRESAS/FRESON,5166.92,65.09,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,MELON,1010.81,7.74,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,SANDIA,342.36,4.09,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,CIRUELAS,244.67,9.28,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,CEREZAS,22.65,0.83,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,UVAS,578.11,15.85,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,KIWI,1859.4,38.17,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,AGUACATE,821.65,31.11,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,PIÑA,1185.68,18.79,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,OTRAS FRUTAS FRESCAS,1424.06,30.29,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,POMELO,172.57,4.46,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,MANGO,545.71,13.78,0.04467
Andalucia,3.0,16903.0,755.0,2020.0,FRUTAS IV GAMA,2996.99,32.27,0.04467
Andalucia,4.0,316451.0,25210.0,2020.0,TOTAL PATATAS,29975.83,89.76,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PATATAS FRESCAS,20478.43,78.4,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PATATAS CONGELADAS,1241.55,17.23,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PATATAS PROCESADAS,1651.17,60.34,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PATATAS FRITAS,1354.99,58.03,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,T.HORTALIZAS FRESCAS,51839.23,98.26,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,TOMATES,12725.61,87.92,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,CEBOLLAS,6611.01,77.17,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,AJOS,812.04,52.45,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,COLES,1031.54,16.77,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PEPINOS,1489.67,37.62,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,JUDIAS VERDES,1044.2,31.31,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PIMIENTOS,4279.74,78.73,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,CHAMPIÑONES+O.SETAS,1132.39,41.08,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,LECHUGA/ESC./ENDIVIA,3692.05,77.95,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,ESPARRAGOS,649.22,15.54,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,VERDURAS DE HOJA,1024.66,24.68,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,BERENJENAS,1851.84,45.98,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,ZANAHORIAS,3189.64,64.31,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,CALABACINES,3639.74,61.05,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,OTR.HORTALIZAS/VERD.,8665.88,78.32,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,BROCOLI,731.36,23.13,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,ALCACHOFAS,1717.0,29.86,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,APIO,422.45,13.76,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,COLIFLOR,597.15,13.81,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,VERD./HORT. IV GAMA,5597.5,67.65,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PUERRO,857.39,34.09,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,T.FRUTAS FRESCAS,68180.69,97.21,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,NARANJAS,19913.09,64.21,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,MANDARINAS,4181.42,45.05,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,LIMONES,2066.61,40.18,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PLATANOS,11328.61,85.18,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,MANZANAS,8953.25,76.29,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PERAS,4109.22,57.42,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,MELOCOTONES,206.24,7.42,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,NECTARINAS,329.86,7.97,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,ALBARICOQUES,196.75,7.22,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,FRESAS/FRESON,5761.11,71.16,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,MELON,1476.09,14.62,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,SANDIA,1828.05,12.09,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,CIRUELAS,295.43,9.18,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,CEREZAS,21.95,1.14,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,UVAS,670.6,18.08,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,KIWI,2075.91,39.38,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,AGUACATE,1247.43,36.7,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,PIÑA,1337.35,21.15,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,OTRAS FRUTAS FRESCAS,2181.71,37.54,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,POMELO,260.61,2.42,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,MANGO,562.22,14.02,0.07966
Andalucia,4.0,316451.0,25210.0,2020.0,FRUTAS IV GAMA,2839.5,34.89,0.07966
Andalucia,5.0,423448.0,41461.0,2020.0,TOTAL PATATAS,26140.66,84.61,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PATATAS FRESCAS,18364.57,69.35,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PATATAS CONGELADAS,839.72,13.12,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PATATAS PROCESADAS,1387.27,57.8,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PATATAS FRITAS,1198.95,56.33,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,T.HORTALIZAS FRESCAS,48825.45,97.99,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,TOMATES,13591.58,86.42,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,CEBOLLAS,6206.0,76.03,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,AJOS,741.14,41.83,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,COLES,631.91,12.94,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PEPINOS,2011.83,48.27,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,JUDIAS VERDES,1119.78,32.5,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PIMIENTOS,3824.21,74.15,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,CHAMPIÑONES+O.SETAS,1086.73,39.27,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,LECHUGA/ESC./ENDIVIA,3438.01,73.86,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,ESPARRAGOS,888.56,20.63,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,VERDURAS DE HOJA,640.59,23.42,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,BERENJENAS,1513.48,41.28,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,ZANAHORIAS,2667.88,57.19,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,CALABACINES,3753.4,61.7,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,OTR.HORTALIZAS/VERD.,6710.34,74.62,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,BROCOLI,908.92,23.59,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,ALCACHOFAS,1192.32,25.16,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,APIO,290.9,12.22,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,COLIFLOR,357.98,10.21,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,VERD./HORT. IV GAMA,6314.63,68.18,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PUERRO,785.73,32.3,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,T.FRUTAS FRESCAS,69299.62,96.94,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,NARANJAS,13464.05,54.99,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,MANDARINAS,1008.44,20.37,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,LIMONES,2052.81,36.2,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PLATANOS,9948.82,82.67,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,MANZANAS,7584.13,70.01,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PERAS,3450.38,50.46,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,MELOCOTONES,1244.74,27.92,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,NECTARINAS,1116.81,20.82,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,ALBARICOQUES,1537.08,32.75,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,FRESAS/FRESON,3876.68,59.93,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,MELON,3985.19,33.05,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,SANDIA,10569.72,48.28,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,CIRUELAS,313.21,11.45,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,CEREZAS,1089.23,23.95,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,UVAS,684.46,16.99,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,KIWI,1640.46,36.25,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,AGUACATE,1276.86,37.69,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,PIÑA,1135.3,15.66,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,OTRAS FRUTAS FRESCAS,3321.26,43.93,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,POMELO,226.12,2.94,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,MANGO,660.56,12.1,0.09791
Andalucia,5.0,423448.0,41461.0,2020.0,FRUTAS IV GAMA,3026.29,33.72,0.09791
Andalucia,6.0,266148.0,29629.0,2020.0,TOTAL PATATAS,21679.98,81.78,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PATATAS FRESCAS,14856.18,65.6,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PATATAS CONGELADAS,779.46,13.53,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PATATAS PROCESADAS,1208.87,53.73,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PATATAS FRITAS,1058.41,51.94,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,T.HORTALIZAS FRESCAS,42323.46,97.7,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,TOMATES,13847.5,86.26,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,CEBOLLAS,4938.11,70.89,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,AJOS,619.17,41.9,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,COLES,588.43,12.49,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PEPINOS,2251.39,51.94,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,JUDIAS VERDES,894.83,24.38,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PIMIENTOS,3952.12,76.54,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,CHAMPIÑONES+O.SETAS,864.22,39.76,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,LECHUGA/ESC./ENDIVIA,2936.71,70.22,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,ESPARRAGOS,221.3,8.87,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,VERDURAS DE HOJA,591.36,22.87,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,BERENJENAS,1540.3,34.92,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,ZANAHORIAS,2323.81,54.95,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,CALABACINES,3138.1,54.32,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,OTR.HORTALIZAS/VERD.,3616.11,67.18,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,BROCOLI,489.6,17.68,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,ALCACHOFAS,240.77,10.81,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,APIO,293.51,11.38,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,COLIFLOR,322.73,7.99,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,VERD./HORT. IV GAMA,4613.15,62.51,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PUERRO,414.87,21.16,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,T.FRUTAS FRESCAS,68311.03,94.98,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,NARANJAS,6151.37,36.83,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,MANDARINAS,134.98,2.17,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,LIMONES,1430.53,33.66,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PLATANOS,7554.93,79.26,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,MANZANAS,5012.85,62.23,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PERAS,1985.24,40.47,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,MELOCOTONES,3234.9,45.49,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,NECTARINAS,1778.7,29.32,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,ALBARICOQUES,1713.63,35.87,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,FRESAS/FRESON,589.78,18.41,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,MELON,8247.06,51.72,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,SANDIA,18977.52,61.72,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,CIRUELAS,948.49,24.07,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,CEREZAS,3209.77,54.09,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,UVAS,435.07,12.95,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,KIWI,1301.31,28.31,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,AGUACATE,1089.68,37.43,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,PIÑA,1063.41,21.01,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,OTRAS FRUTAS FRESCAS,3451.81,50.23,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,POMELO,230.36,2.18,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,MANGO,435.63,8.86,0.11133
Andalucia,6.0,266148.0,29629.0,2020.0,FRUTAS IV GAMA,2120.49,25.96,0.11133
Aragon,3.0,6569.0,386.0,2020.0,TOTAL PATATAS,3242.56,76.02,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PATATAS FRESCAS,2436.54,64.14,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PATATAS CONGELADAS,60.03,8.53,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PATATAS PROCESADAS,149.2,47.05,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PATATAS FRITAS,128.32,45.55,0.05876
Aragon,3.0,6569.0,386.0,2020.0,T.HORTALIZAS FRESCAS,8980.43,98.17,0.05876
Aragon,3.0,6569.0,386.0,2020.0,TOMATES,1355.2,86.07,0.05876
Aragon,3.0,6569.0,386.0,2020.0,CEBOLLAS,863.95,70.44,0.05876
Aragon,3.0,6569.0,386.0,2020.0,AJOS,101.68,35.62,0.05876
Aragon,3.0,6569.0,386.0,2020.0,COLES,270.89,24.34,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PEPINOS,158.13,23.48,0.05876
Aragon,3.0,6569.0,386.0,2020.0,JUDIAS VERDES,407.13,53.48,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PIMIENTOS,548.02,57.76,0.05876
Aragon,3.0,6569.0,386.0,2020.0,CHAMPIÑONES+O.SETAS,271.9,58.21,0.05876
Aragon,3.0,6569.0,386.0,2020.0,LECHUGA/ESC./ENDIVIA,830.87,76.51,0.05876
Aragon,3.0,6569.0,386.0,2020.0,ESPARRAGOS,269.44,22.18,0.05876
Aragon,3.0,6569.0,386.0,2020.0,VERDURAS DE HOJA,537.79,42.31,0.05876
Aragon,3.0,6569.0,386.0,2020.0,BERENJENAS,153.59,31.12,0.05876
Aragon,3.0,6569.0,386.0,2020.0,ZANAHORIAS,431.18,57.44,0.05876
Aragon,3.0,6569.0,386.0,2020.0,CALABACINES,544.33,63.58,0.05876
Aragon,3.0,6569.0,386.0,2020.0,OTR.HORTALIZAS/VERD.,2236.33,84.49,0.05876
Aragon,3.0,6569.0,386.0,2020.0,BROCOLI,315.9,27.98,0.05876
Aragon,3.0,6569.0,386.0,2020.0,ALCACHOFAS,371.08,39.21,0.05876
Aragon,3.0,6569.0,386.0,2020.0,APIO,187.47,12.57,0.05876
Aragon,3.0,6569.0,386.0,2020.0,COLIFLOR,69.24,10.07,0.05876
Aragon,3.0,6569.0,386.0,2020.0,VERD./HORT. IV GAMA,944.33,69.11,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PUERRO,146.2,31.55,0.05876
Aragon,3.0,6569.0,386.0,2020.0,T.FRUTAS FRESCAS,11050.12,97.89,0.05876
Aragon,3.0,6569.0,386.0,2020.0,NARANJAS,3250.18,75.21,0.05876
Aragon,3.0,6569.0,386.0,2020.0,MANDARINAS,1130.11,62.94,0.05876
Aragon,3.0,6569.0,386.0,2020.0,LIMONES,288.08,40.91,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PLATANOS,1544.65,79.99,0.05876
Aragon,3.0,6569.0,386.0,2020.0,MANZANAS,1682.35,82.23,0.05876
Aragon,3.0,6569.0,386.0,2020.0,PERAS,694.02,53.83,0.05876
Aragon,3.0,6569.0,386.0,2020.0,NECTARINAS,20.5,1.12,0.05876
Aragon,3.0,6569.0,386.0,2020.0,FRESAS/FRESON,1059.44,64.43,0.05876
Aragon,3.0,6569.0,386.0,2020.0,MELON,140.65,10.08,0.05876
Aragon,3.0,6569.0,386.0,2020.0,SANDIA,94.0,2.08,0.05876
Aragon,3.0,6569.0,386.0,2020.0,CIRUELAS,33.97,10.62,0.05876
