Año,Mes,CCAA,Producto,Volumen (miles de kg),Penetración (%)
2020,3,Total Nacional,TOTAL PATATAS,144056.38,84.67
2020,3,Total Nacional,PATATAS FRESCAS,104636.6,75.78
2020,3,Total Nacional,PATATAS CONGELADAS,4758.65,12.17
2020,3,Total Nacional,PATATAS PROCESADAS,6932.23,51.81
2020,3,Total Nacional,PATATAS FRITAS,5438.76,49.51
2020,3,Total Nacional,T.HORTALIZAS FRESCAS,257552.9,97.66
2020,3,Total Nacional,TOMATES,49440.89,84.07
2020,3,Total Nacional,CEBOLLAS,34088.44,75.49
2020,3,Total Nacional,AJOS,3284.05,42.48
2020,3,Total Nacional,COLES,7978.48,23.31
2020,3,Total Nacional,PEPINOS,5609.82,28.5
2020,3,Total Nacional,JUDIAS VERDES,7244.74,34.21
2020,3,Total Nacional,PIMIENTOS,20569.03,69.98
2020,3,Total Nacional,CHAMPIÑONES+O.SETAS,5743.24,40.4
2020,3,Total Nacional,LECHUGA/ESC./ENDIVIA,17836.29,69.94
2020,3,Total Nacional,ESPARRAGOS,4083.08,14.19
2020,3,Total Nacional,VERDURAS DE HOJA,6562.1,28.89
2020,3,Total Nacional,BERENJENAS,6501.18,34.16
2020,3,Total Nacional,ZANAHORIAS,17026.27,62.82
2020,3,Total Nacional,CALABACINES,19275.64,59.45
2020,3,Total Nacional,OTR.HORTALIZAS/VERD.,52309.65,80.31
2020,3,Total Nacional,BROCOLI,5928.15,24.67
2020,3,Total Nacional,ALCACHOFAS,10850.68,30.81
2020,3,Total Nacional,APIO,2058.45,12.48
2020,3,Total Nacional,COLIFLOR,2948.5,11.04
2020,3,Total Nacional,VERD./HORT. IV GAMA,28655.57,68.41
2020,3,Total Nacional,PUERRO,5239.97,35.5
2020,3,Andalucia,TOTAL PATATAS,26781.88,86.82
2020,3,Andalucia,PATATAS FRESCAS,18296.89,78.36
2020,3,Andalucia,PATATAS CONGELADAS,1071.86,14.77
2020,3,Andalucia,PATATAS PROCESADAS,1482.63,58.35
2020,3,Andalucia,PATATAS FRITAS,1184.1,55.63
2020,3,Andalucia,T.HORTALIZAS FRESCAS,44651.3,98.22
2020,3,Andalucia,TOMATES,9777.53,85.42
2020,3,Andalucia,CEBOLLAS,6221.43,74.1
2020,3,Andalucia,AJOS,694.76,47.5
2020,3,Andalucia,COLES,962.14,19.26
2020,3,Andalucia,PEPINOS,1054.1,32.49
2020,3,Andalucia,JUDIAS VERDES,956.08,27.71
2020,3,Andalucia,PIMIENTOS,3539.51,71.53
2020,3,Andalucia,CHAMPIÑONES+O.SETAS,934.74,37.81
2020,3,Andalucia,LECHUGA/ESC./ENDIVIA,3157.07,72.55
2020,3,Andalucia,ESPARRAGOS,629.33,12.56
2020,3,Andalucia,VERDURAS DE HOJA,967.32,24.38
2020,3,Andalucia,BERENJENAS,1220.44,39.11
2020,3,Andalucia,ZANAHORIAS,2783.99,61.07
2020,3,Andalucia,CALABACINES,3181.39,59.15
2020,3,Andalucia,OTR.HORTALIZAS/VERD.,8571.48,80.84
2020,3,Andalucia,BROCOLI,988.87,24.43
2020,3,Andalucia,ALCACHOFAS,1820.14,32.33
2020,3,Andalucia,APIO,372.36,14.88
2020,3,Andalucia,COLIFLOR,572.62,12.02
2020,3,Andalucia,VERD./HORT. IV GAMA,5586.03,68.99
2020,3,Andalucia,PUERRO,813.67,32.51
2020,3,Aragon,TOTAL PATATAS,3242.56,76.02
2020,3,Aragon,PATATAS FRESCAS,2436.54,64.14
2020,3,Aragon,PATATAS CONGELADAS,60.03,8.53
2020,3,Aragon,PATATAS PROCESADAS,149.2,47.05
2020,3,Aragon,PATATAS FRITAS,128.32,45.55
2020,3,Aragon,T.HORTALIZAS FRESCAS,8980.43,98.17
